timestamp,cpu_usage,memory_usage,network_traffic,disk_io,response_time,error_rate,is_anomaly
2024-01-01 00:00:00,49.97,56.61,172.86,97.13,160.45,1.09,0
2024-01-01 00:05:00,43.62,56.37,187.78,99.35,158.5,1.01,0
2024-01-01 00:10:00,51.48,45.63,176.1,101.29,121.9,0.78,0
2024-01-01 00:15:00,60.23,57.36,204.42,118.94,167.39,1.0,0
2024-01-01 00:20:00,42.66,65.86,247.89,85.06,105.3,1.25,0
2024-01-01 00:25:00,42.66,49.81,169.16,83.07,130.37,0.94,0
2024-01-01 00:30:00,60.79,68.39,240.03,124.73,90.03,1.21,0
2024-01-01 00:35:00,52.67,63.9,168.73,90.75,196.76,0.58,0
2024-01-01 00:40:00,40.31,54.13,166.09,74.74,143.05,0.7,0
2024-01-01 00:45:00,50.43,58.87,232.74,90.3,215.01,0.63,0
2024-01-01 00:50:00,40.37,72.79,236.88,93.4,174.09,0.72,0
2024-01-01 00:55:00,40.34,65.87,234.06,131.1,163.44,1.64,0
2024-01-01 01:00:00,47.42,60.07,147.37,118.5,132.41,1.36,0
2024-01-01 01:05:00,25.87,58.1,181.36,122.95,118.61,0.46,0
2024-01-01 01:10:00,27.75,60.61,232.92,116.4,165.69,1.22,0
2024-01-01 01:15:00,39.38,55.91,201.66,118.92,147.85,0.8,0
2024-01-01 01:20:00,34.87,43.16,157.05,86.24,109.82,0.66,0
2024-01-01 01:25:00,48.14,76.34,218.33,96.03,104.49,0.26,0
2024-01-01 01:30:00,35.92,61.24,171.41,80.2,121.24,1.49,0
2024-01-01 01:35:00,30.88,63.19,271.78,95.79,204.63,0.32,0
2024-01-01 01:40:00,59.66,59.54,261.79,113.68,216.4,0.97,0
2024-01-01 01:45:00,42.74,54.12,224.16,102.69,156.15,0.53,0
2024-01-01 01:50:00,45.68,58.51,254.44,126.23,154.47,1.39,0
2024-01-01 01:55:00,30.75,47.2,202.59,77.17,139.91,0.83,0
2024-01-01 02:00:00,39.56,78.22,230.62,110.0,121.97,0.93,0
2024-01-01 02:05:00,46.11,50.12,259.11,433.35,191.26,70.58,1
2024-01-01 02:10:00,33.49,51.74,209.82,101.88,206.21,1.15,0
2024-01-01 02:15:00,48.76,56.48,189.79,114.81,123.2,1.01,0
2024-01-01 02:20:00,38.99,70.3,131.82,95.71,147.51,0.98,0
2024-01-01 02:25:00,42.08,60.12,196.67,111.02,136.5,0.74,0
2024-01-01 02:30:00,38.98,50.11,232.94,80.81,137.39,0.21,0
2024-01-01 02:35:00,63.52,70.03,237.83,66.73,185.58,0.44,0
2024-01-01 02:40:00,44.87,65.85,220.17,111.14,110.64,1.36,0
2024-01-01 02:45:00,34.42,64.31,178.35,134.88,163.99,0.85,0
2024-01-01 02:50:00,53.23,65.73,120.93,80.08,171.85,0.67,0
2024-01-01 02:55:00,32.79,79.15,180.19,124.44,145.74,0.3,0
2024-01-01 03:00:00,47.09,77.48,187.83,100.87,176.79,0.14,0
2024-01-01 03:05:00,25.4,54.51,187.48,73.29,154.43,0.65,0
